"","target.priority","altitude..hundreds.of.feet."
"136434","1",235
"136435","1",235
"136436","1",234
"136437","1",234
"136438","1",139
"136439","1",139
"136440","1",250
"136441","1",50
"136443","1",139
"136444","1",75
"136445","1",70
"136452","1",139
"136453","1",139
"136454","1",190
"136455","1",190
"136456","1",180
"136457","1",180
"136458","1",139
"136459","1",139
"136462","1",25
"136463","1",50
"136465","1",75
"136467","1",50
"136468","1",60
"136470","1",220
"136471","1",220
"136472","1",220
"136473","1",220
"136474","1",220
"136475","1",220
"136476","1",205
"136477","1",205
"136478","1",139
"136479","1",139
"136480","1",139
"136481","1",139
"136482","1",139
"136483","1",139
"136484","1",139
"136485","1",139
"136486","1",80
"136487","1",80
"136488","1",139
"136489","1",139
"136490","1",139
"136491","1",139
"136492","1",139
"136493","1",139
"136501","1",22
"136503","1",22
"136504","1",60
"136505","1",43
"136506","1",60
"136510","1",139
"136512","1",139
"136513","1",139
"136514","1",139
"136515","1",139
"136516","1",195
"136517","1",195
"136518","1",90
"136519","1",90
"136520","1",235
"136521","1",235
"136522","1",235
"136523","1",170
"136524","1",170
"136525","1",170
"136526","1",170
"136527","1",139
"136528","1",139
"136529","1",139
"136530","1",139
"136531","1",139
"136532","1",139
"136533","1",139
"136534","1",139
"136535","1",70
"136536","1",139
"136537","1",65
"136538","1",60
"136540","1",139
"136541","1",139
"136542","1",204
"136543","1",212
"136544","1",204
"136545","1",25
"136546","1",201
"136547","1",110
"136548","2",85
"136549","1",90
"136550","1",50
"136551","1",50
"136552","1",50
"136553","1",30
"136554","1",80
"136556","1",50
"136557","1",120
"136558","1",2
"136559","1",2
"136560","1",50
"136562","1",104
"136563","1",90
"136564","1",3
"136565","1",1
"136566","1",1
"136567","1",25
"136568","1",25
"136569","1",25
"136570","1",90
"136571","1",50
"136572","1",33
"136573","1",30
"136574","1",139
"136575","1",139
"136576","1",139
"136577","1",139
"136578","1",139
"136579","1",225
"136580","1",225
"136581","1",225
"136605","1",139
"136606","1",139
"136607","1",139
"136608","1",139
"136609","1",139
"136610","1",139
"136621","1",185
"136622","1",185
"136623","1",185
"136624","4",139
"136625","4",139
"136626","4",139
"136627","3",139
"136628","3",139
"136629","3",139
"136630","2",260
"136631","2",260
"136632","2",260
"136633","2",255
"136634","2",255
"136635","2",255
"136636","1",250
"136637","1",250
"136638","1",250
"136639","1",250
"136640","1",250
"136641","1",88
"136642","1",88
"136643","1",80
"136644","1",80
"136645","3",80
"136646","3",80
"136647","1",80
"136648","1",80
"136649","1",80
"136650","3",80
"136651","2",1
"136653","3",1
"136654","2",1
"136658","1",1
"136659","2",1
"136660","2",1
"136661","1",5
"136662","3",1
"136663","1",1
"136664","1",50
"136665","1",1
"136666","1",1
"136667","3",125
"136668","3",125
"136669","3",115
"136670","3",115
"136671","1",90
"136672","1",90
"136673","1",90
"136674","1",90
"136675","1",88
"136676","1",80
"136677","1",70
"136680","1",115
"136681","1",110
"136682","1",105
"136683","1",115
"136684","3",139
"136685","3",139
"136686","1",15
"136692","1",1
"136693","1",1
"136698","1",1
"136699","1",80
"136701","1",30
"136705","2",85
"136717","1",3
"136721","1",30
"136722","1",25
"136723","1",25
"136724","2",100
"136725","1",20
"136726","2",20
"136728","1",139
"136736","3",10
"136737","1",1
"136739","2",139
"136740","2",25
"136747","3",139
"136748","3",139
"136749","3",139
"136750","3",139
"136751","3",139
"136752","3",139
"136753","1",280
"136754","1",280
"136755","1",275
"136756","1",275
"136757","1",257
"136758","1",256
"136759","3",255
"136760","1",255
"136761","1",255
"136762","1",245
"136763","1",245
"136764","3",245
"136765","1",232
"136766","1",232
"136767","1",220
"136768","1",215
"136769","1",210
"136789","1",139
"136790","1",139
"136791","1",139
"136792","3",139
"136793","3",139
"136794","3",139
"136795","1",139
"136796","3",139
"136801","1",139
"136802","1",139
"136803","1",139
"136810","2",139
"136811","3",139
"136812","3",139
"136813","3",139
"136814","1",230
"136815","3",220
"136816","3",220
"136817","1",200
"136818","3",139
"136819","3",139
"136820","1",222
"136821","1",110
"136822","1",110
"136823","1",105
"136824","1",105
"136825","1",105
"136826","1",105
"136827","1",105
"136828","1",105
"136829","1",105
"136830","1",105
"136831","1",103
"136832","1",103
"136833","1",100
"136834","1",100
"136835","1",95
"136836","1",95
"136837","1",95
"136838","1",80
"136839","1",80
"136840","1",55
"136841","1",139
"136842","1",139
"136843","1",139
"136844","1",139
"136845","1",139
"136846","1",139
"136847","1",139
"136848","1",200
"136849","1",200
"136850","1",200
"136851","1",200
"136852","1",200
"136853","1",200
"136854","1",200
"136855","1",200
"136856","1",200
"136857","1",225
"136858","1",225
"136859","1",210
"136860","1",210
"136861","1",205
"136862","1",205
"136863","1",205
"136864","1",83
"136865","1",83
"136868","1",139
"136869","1",139
"136871","1",90
"136872","1",60
"136873","1",139
"136874","1",40
"136876","1",38
"136877","1",85
"136878","1",90
"136880","1",90
"136881","1",90
"136882","1",215
"136883","1",215
"136884","1",100
"136885","1",100
"136886","1",200
"136887","1",150
"136888","1",150
"136889","1",20
"136890","1",20
"136891","1",139
"136892","1",139
"136893","1",139
"136894","1",139
"136895","1",139
"136896","1",139
"136897","1",139
"136898","1",139
"136899","1",139
"136900","1",139
"136901","1",139
"136902","1",139
"136903","1",139
"136904","1",139
"136905","1",139
"136906","1",139
"136907","1",139
"136908","1",139
"136909","1",139
"136910","1",139
"136911","1",139
"136912","1",139
"136913","1",139
"136914","1",139
"136915","1",139
"136916","1",139
"136917","1",139
"136924","1",60
"136926","1",240
"136927","1",240
"136928","1",220
"136929","1",220
"136930","1",220
"136931","1",220
"136932","1",215
"136933","1",215
"136934","1",203
"136935","1",203
"136938","1",139
"136939","1",139
"136940","1",139
"136941","1",250
"136943","2",250
"136946","1",250
"136947","2",240
"136948","2",240
"136949","2",240
"136950","1",240
"136951","1",240
"136952","1",240
"136953","1",236
"136954","1",236
"136955","1",236
"136956","1",233
"136957","1",233
"136958","1",233
"136959","1",230
"136960","1",230
"136961","1",230
"136962","1",230
"136963","1",230
"136964","1",230
"136965","1",230
"136966","1",230
"136967","1",230
"136968","1",228
"136969","1",228
"136970","1",228
"136971","1",226
"136972","1",226
"136973","1",226
"136974","1",220
"136975","1",220
"136976","1",220
"136977","1",220
"136978","1",220
"136979","1",220
"136980","1",220
"136981","1",220
"136982","1",220
"136983","1",220
"136984","1",220
"136985","1",220
"136986","1",220
"136987","1",220
"136988","1",220
"136989","1",220
"136990","1",220
"136991","1",220
"136992","1",210
"136993","1",210
"136994","1",210
"136995","1",210
"136996","1",210
"136997","1",210
"136998","1",210
"136999","1",210
"137000","1",208
"137001","1",208
"137002","1",208
"137003","1",200
"137004","1",200
"137005","1",200
"137006","1",192
"137007","1",192
"137008","1",192
"137009","1",190
"137010","1",190
"137011","1",190
"137012","1",190
"137013","1",190
"137014","1",190
"137015","1",185
"137016","1",185
"137017","1",185
"137018","2",180
"137019","2",180
"137020","2",180
"137021","1",180
"137022","1",180
"137023","1",180
"137024","1",180
"137025","1",180
"137026","1",180
"137027","1",180
"137028","1",180
"137029","1",180
"137030","1",180
"137031","1",180
"137032","1",173
"137033","1",173
"137034","1",173
"137041","1",139
"137043","1",150
"137044","1",140
"137046","3",1
"137047","1",1
"137048","3",1
"137049","3",1
"137051","1",1
"137052","3",1
"137054","3",2
"137055","1",2
"137057","2",40
"137060","1",125
"137061","1",120
"137062","1",120
"137063","3",120
"137068","1",120
"137069","1",116
"137070","1",113
"137071","1",113
"137072","1",154
"137073","1",152
"137074","1",211
"137075","1",180
"137076","1",180
"137077","1",2
"137079","1",1
"137080","1",1
"137082","1",1
"137083","1",1
"137084","1",1
"137085","1",1
"137086","1",1
"137092","1",115
"137093","1",161
"137094","3",170
"137095","1",139
"137096","1",100
"137097","1",160
"137100","3",155
"137101","3",144
"137102","3",81
"137103","3",162
"137104","3",152
"137107","1",35
"137112","3",175
"137113","3",158
"137114","3",154
"137115","3",140
"137116","1",90
"137117","4",70
"137118","3",69
"137120","1",40
"137121","1",1
"137122","1",80
"137123","1",161
"137125","1",1
"137126","1",1
"137136","1",1
"137137","1",100
"137141","1",55
"137142","1",139
"137143","1",139
"137144","3",139
"137145","1",139
"137146","1",139
"137147","1",114
"137148","1",114
"137149","1",139
"137150","1",139
"137151","3",139
"137152","3",139
"137167","1",93
"137168","1",20
"137169","1",3
"137170","1",63
"137171","1",100
"137172","1",95
"137173","1",95
"137174","1",85
"137175","1",165
"137176","3",150
"137177","1",148
"137178","1",115
"137179","1",110
"137180","1",105
"137181","1",95
"137182","1",1
"137183","1",3
"137184","1",20
"137185","1",20
"137186","1",139
"137187","1",139
"137188","1",139
"137189","1",139
"137190","1",105
"137191","1",104
"137192","1",180
"137193","1",200
"137194","1",180
"137195","1",90
"137196","1",52
"137197","1",100
"137198","1",1
"137199","1",180
"137200","1",1
"137201","1",150
"137202","1",90
"137203","1",115
"137204","1",104
"137205","1",70
"137206","1",20
"137207","1",20
"137208","1",90
"137209","1",139
"137210","1",88
"137211","1",139
"137212","1",120
"137213","1",139
"137214","1",20
"137215","1",27
"137216","1",25
"137217","1",25
"137218","1",20
"137219","1",20
"137220","1",20
"137221","1",20
"137222","1",20
"137223","1",1
"137224","1",1
"137225","1",1
"137226","1",1
"137227","1",90
"137228","1",20
"137229","1",20
"137230","1",20
"137231","1",90
"137232","1",139
"137233","1",139
"137234","1",139
"137235","1",139
"137236","1",139
"137237","1",139
"137238","1",139
"137239","1",139
"137240","2",280
"137241","1",139
"137242","1",139
"137243","1",139
"137244","1",139
"137245","1",139
"137246","1",139
"137247","1",139
"137248","1",139
"137249","1",139
"137250","1",139
"137251","1",139
"137252","1",139
"137253","1",139
"137254","1",139
"137255","1",139
"137256","1",139
"137257","1",139
"137258","1",139
"137259","1",139
"137260","1",139
"137261","1",139
"137262","1",139
"137263","1",139
"137264","1",139
"137265","1",139
"137266","1",139
"137267","1",139
"137268","1",139
"137269","1",139
"137270","1",139
"137271","1",72
"137273","1",20
"137275","1",100
"137276","1",50
"137277","1",70
"137281","1",139
"137282","1",139
"137283","1",139
"137284","1",139
"137285","1",139
"137286","1",139
"137287","1",139
"137288","1",139
"137289","1",38
"137290","3",47
"137291","1",90
"137292","1",90
"137293","1",150
"137294","1",90
"137295","1",90
"137296","1",139
"137297","2",20
"137298","1",20
"137299","1",75
"137300","1",75
"137301","1",139
"137302","1",139
"137303","1",139
"137304","1",139
"137305","1",250
"137306","1",250
"137307","1",250
"137308","1",200
"137309","1",200
"137310","1",200
"137311","1",200
"137312","2",190
"137313","2",190
"137314","1",45
"137315","1",80
"137316","1",85
"137317","1",139
"137318","1",145
"137319","1",145
"137320","1",80
"137321","1",80
"137322","1",95
"137323","1",100
"137324","1",85
"137325","1",80
"137326","1",139
"137327","1",139
"137328","1",139
"137329","1",139
"137330","1",139
"137331","1",139
"137332","1",139
"137333","1",139
"137334","1",139
"137335","1",139
"137336","1",139
"137337","1",139
"137338","1",139
"137339","1",139
"137340","1",139
"137351","1",95
"137352","1",95
"137354","2",139
"137355","1",139
"137356","1",139
"137357","1",139
"137358","1",139
"137359","1",139
"137360","1",139
"137361","1",139
"137362","1",139
"137363","1",139
"137364","1",139
"137365","1",139
"137368","1",139
"137369","4",139
"137370","1",139
"137371","4",139
"137372","1",139
"137373","4",139
"137374","4",139
"137375","4",139
"137376","4",139
"137377","2",139
"137378","2",139
"137379","2",139
"137380","4",139
"137381","4",139
"137382","4",139
"137383","1",139
"137384","1",139
"137385","1",139
"137386","4",139
"137387","4",139
"137388","4",139
"137389","4",139
"137390","4",139
"137391","4",139
"137392","1",139
"137393","1",139
"137394","1",139
"137395","1",139
"137396","4",139
"137397","4",139
"137398","4",139
"137399","1",139
"137400","1",139
"137401","1",139
"137402","1",139
"137403","1",139
"137404","1",139
"137405","1",139
"137406","1",139
"137407","1",139
"137409","1",139
"137411","1",139
"137413","1",139
"137419","1",139
"137420","4",139
"137421","4",139
"137422","4",139
"137423","1",139
"137424","1",139
"137425","1",139
"137426","1",139
"137427","1",139
"137428","1",139
"137429","1",139
"137430","1",139
"137431","1",139
"137432","1",139
"137433","1",139
"137434","1",139
"137435","1",139
"137436","4",139
"137437","1",139
"137438","4",139
"137439","1",139
"137440","4",139
"137441","3",218
"137442","1",15
"137446","3",202
"137447","3",199
"137448","3",194
"137449","3",192
"137450","3",185
"137451","3",148
"137452","3",110
"137453","3",202
"137454","3",200
"137455","3",199
"137457","3",192
"137458","3",176
"137459","3",148
"137460","1",1
"137461","3",114
"137462","3",110
"137463","3",100
"137465","1",139
"137467","3",139
"137468","3",139
"137469","3",202
"137470","3",200
"137471","3",199
"137472","3",194
"137473","3",192
"137474","3",185
"137475","3",148
"137476","3",114
"137478","3",139
"137479","3",139
"137480","3",185
"137481","3",195
"137482","1",180
"137483","3",180
"137484","1",89
"137486","2",30
"137487","1",50
"137488","1",18
"137489","1",3
"137490","1",1
"137491","3",195
"137492","1",180
"137493","3",180
"137494","2",179
"137495","3",170
"137497","1",85
"137499","1",10
"137500","1",115
"137501","3",140
"137504","2",120
"137505","1",115
"137506","1",114
"137508","2",105
"137509","1",104
"137519","1",1
"137520","1",1
"137521","1",1
"137522","2",1
"137523","1",1
"137528","2",1
"137531","1",150
"137534","1",120
"137537","2",139
"137540","1",70
"137541","2",280
"137542","2",280
"137543","3",276
"137544","3",276
"137545","1",275
"137546","1",275
"137547","2",273
"137548","2",273
"137549","2",273
"137550","1",256
"137551","2",230
"137552","2",230
"137553","2",230
"137554","3",225
"137555","3",225
"137556","3",225
"137557","3",139
"137558","3",139
"137559","3",139
"137560","2",286
"137561","2",269
"137562","2",230
"137563","2",216
"137564","2",210
"137565","2",210
"137566","3",139
"137567","3",139
"137568","1",266
"137569","1",265
"137570","1",263
"137571","1",260
"137572","1",259
"137573","1",259
"137574","1",259
"137575","1",258
"137576","1",255
"137577","1",255
"137578","1",252
"137579","1",250
"137583","1",250
"137588","1",248
"137589","2",247
"137590","1",247
"137591","1",245
"137592","1",245
"137593","1",243
"137594","1",240
"137595","1",240
"137602","3",139
"137603","3",139
"137604","3",139
"137605","3",139
"137606","3",139
"137607","3",139
"137608","3",139
"137609","4",139
"137610","3",139
"137611","3",139
"137612","3",139
"137619","3",139
"137620","3",139
"137621","1",206
"137622","1",205
"137623","3",139
"137624","3",139
"137625","3",139
"137626","3",139
"137629","1",270
"137630","1",270
"137631","1",270
"137638","2",255
"137639","2",255
"137641","1",139
"137642","1",139
"137643","1",139
"137644","1",139
"137645","1",139
"137646","1",139
"137647","1",139
"137648","1",139
"137653","1",15
"137654","1",80
"137655","1",33
"137656","1",139
"137657","1",200
"137658","1",145
"137659","1",85
"137660","1",85
"137661","1",82
"137662","1",80
"137663","1",50
"137664","1",20
"137665","1",70
"137666","1",45
"137667","1",65
"137668","1",40
"137671","1",85
"137672","1",85
"137673","1",85
"137674","1",139
"137675","1",139
"137676","1",139
"137677","1",139
"137678","1",139
"137679","1",139
"137680","1",139
"137681","1",139
"137682","1",139
"137683","1",139
"137684","1",139
"137685","1",139
"137686","1",220
"137687","1",220
"137688","1",215
"137689","1",215
"137690","1",200
"137691","1",200
"137696","1",15
"137697","1",53
"137698","1",11
"137699","1",24
"137700","1",60
"137701","1",40
"137702","1",50
"137704","1",90
"137705","1",50
"137706","1",95
"137707","1",85
"137708","1",85
"137709","1",80
"137710","1",80
"137711","1",80
"137712","1",139
"137713","1",160
"137714","1",40
"137715","1",95
"137716","1",87
"137717","1",75
"137718","1",70
"137719","2",100
"137720","1",100
"137725","1",240
"137726","1",240
"137727","1",139
"137728","1",139
"137729","1",139
"137730","1",139
"137731","1",139
"137732","1",139
"137733","1",139
"137734","1",139
"137735","1",230
"137736","1",230
"137737","1",230
"137738","1",230
"137739","1",223
"137740","1",223
"137741","1",139
"137742","1",139
"137743","1",139
"137744","2",139
"137745","2",139
"137746","2",139
"137747","4",139
"137748","4",139
"137749","4",139
"137750","4",139
"137751","4",139
"137752","1",139
"137753","2",139
"137754","2",139
"137755","2",139
"137756","3",139
"137757","1",250
"137758","1",250
"137759","1",230
"137760","1",230
"137761","1",227
"137762","1",227
"137763","1",216
"137764","1",216
"137765","1",215
"137766","1",210
"137767","1",210
"137768","1",210
"137769","1",210
"137770","1",210
"137771","1",210
"137772","1",204
"137773","1",204
"137774","1",194
"137775","1",194
"137776","1",192
"137777","1",192
"137778","1",190
"137779","1",190
"137780","1",185
"137781","1",185
"137782","1",180
"137783","1",180
"137784","1",180
"137785","1",180
"137786","1",180
"137787","1",180
"137788","1",178
"137789","1",178
"137790","1",174
"137791","1",174
"137792","1",102
"137793","1",102
"137794","3",139
"137795","1",113
"137796","1",113
"137797","1",113
"137798","1",110
"137799","1",110
"137800","1",107
"137801","1",107
"137802","1",107
"137803","1",107
"137804","1",107
"137805","1",105
"137806","1",105
"137807","1",104
"137808","1",104
"137809","3",102
"137810","3",102
"137811","1",101
"137812","1",101
"137813","1",101
"137814","1",99
"137815","1",99
"137816","1",95
"137817","1",95
"137818","1",95
"137819","1",95
"137820","1",95
"137821","1",95
"137822","1",92
"137823","1",92
"137824","1",90
"137825","1",90
"137826","1",139
"137827","1",139
"137828","1",139
"137829","1",139
"137830","1",102
"137831","1",102
"137832","2",95
"137833","2",95
"137834","2",95
"137835","2",95
"137836","1",139
"137837","1",139
"137838","1",102
"137839","1",102
"137840","1",139
"137842","2",15
"137845","1",1
"137851","2",15
"137852","2",15
"137854","2",85
"137859","2",30
"137862","1",1
"137863","1",1
"137864","1",1
"137867","1",1
"137869","1",1
"137870","1",1
"137878","4",73
"137879","1",36
"137889","1",114
"137890","1",105
"137892","2",1
"137894","2",1
"137898","1",1
"137899","1",1
"137900","1",1
"137901","1",1
"137902","2",1
"137903","3",1
"137908","1",130
"137915","1",70
"137916","1",35
"137918","1",70
"137919","1",115
"137920","1",40
"137921","1",40
"137924","1",120
"137925","1",80
"137927","1",42
"137946","2",255
"137947","2",255
"137949","1",247
"137950","2",247
"137951","2",247
"137952","2",247
"137953","1",240
"137954","1",240
"137955","1",239
"137956","1",237
"137957","3",237
"137958","3",237
"137959","3",237
"137960","3",237
"137961","3",237
"137962","1",235
"137963","1",235
"137964","1",233
"137965","1",230
"137966","4",230
"137967","1",228
"137968","1",227
"137969","1",227
"137970","1",225
"137971","1",223
"137975","1",222
"137976","2",222
"137977","1",221
"137978","1",220
"137979","1",220
"137980","1",220
"137981","1",220
"137982","1",220
"137983","1",218
"137984","1",216
"137985","1",214
"137986","1",208
"137993","3",139
"137994","1",139
"137995","3",139
"137996","1",139
"137997","1",139
"137999","1",139
"138002","1",139
"138007","3",139
"138008","1",139
"138009","1",139
"138018","1",139
"138019","1",139
"138020","1",139
"138021","1",139
"138022","1",139
"138024","1",139
"138025","1",139
"138026","3",139
"138029","3",139
"138030","3",139
"138031","3",139
"138032","4",139
"138033","2",139
"138034","3",139
"138037","3",139
"138038","1",215
"138039","1",200
"138040","1",139
"138041","1",220
"138042","1",220
"138043","1",210
"138044","1",210
"138045","1",210
"138046","1",75
"138047","1",75
"138049","1",139
"138050","1",139
"138051","1",8
"138052","1",100
"138053","1",48
"138054","1",43
"138055","1",34
"138056","2",24
"138057","1",40
"138058","1",75
"138059","1",200
"138060","1",80
"138061","1",50
"138062","1",139
"138063","1",90
"138064","1",90
"138065","1",90
"138066","1",30
"138067","1",139
"138068","1",70
"138069","1",60
"138070","1",139
"138071","1",139
"138079","2",139
"138080","2",139
"138081","1",139
"138082","1",139
"138083","1",139
"138085","1",10
"138086","1",43
"138087","3",36
"138088","1",90
"138089","1",50
"138090","1",40
"138091","1",80
"138092","1",16
"138093","1",139
"138094","1",100
"138095","1",100
"138096","2",220
"138097","2",220
"138098","2",220
"138099","1",80
"138100","1",80
"138101","1",230
"138102","1",230
"138103","1",230
"138104","1",230
"138105","1",139
"138106","1",139
"138107","1",139
"138110","1",1
"138111","1",33
"138112","1",37
"138114","1",20
"138115","1",30
"138116","1",139
"138117","1",139
"138121","1",220
"138122","1",220
"138123","1",215
"138124","1",215
"138125","1",139
"138126","1",139
"138127","1",40
"138130","1",240
"138132","1",100
"138133","1",120
"138134","1",120
"138137","1",250
"138138","1",250
"138139","1",240
"138140","1",240
"138141","1",139
"138142","4",139
"138143","4",139
"138144","4",139
"138145","3",139
"138146","3",139
"138147","3",139
"138149","1",139
"138150","1",139
"138151","1",139
"138152","1",3
"138153","1",139
"138154","1",130
"138155","1",85
"138156","1",204
"138157","1",85
"138158","1",139
"138159","1",120
"138160","1",112
"138161","1",110
"138162","1",222
"138163","1",30
"138164","1",139
"138165","1",139
"138166","1",1
"138167","1",50
"138168","1",139
"138169","1",139
"138170","1",139
"138171","1",100
"138172","1",99
"138173","1",145
"138174","1",90
"138175","1",5
"138176","1",120
"138177","1",110
"138178","1",210
"138179","1",192
"138180","1",70
"138181","1",205
"138182","1",90
"138183","1",205
"138184","1",50
"138185","1",205
"138186","1",50
"138187","1",25
"138188","1",70
"138189","1",60
"138191","1",50
"138192","1",2
"138193","1",1
"138194","1",70
"138195","1",45
"138197","1",30
"138198","1",15
"138199","1",3
"138200","1",25
"138201","1",25
"138202","1",25
"138203","1",25
"138204","1",25
"138205","1",25
"138206","1",139
"138207","1",139
"138208","1",34
"138209","1",30
"138210","1",20
"138211","1",139
"138212","1",224
"138213","4",139
"138214","4",139
"138215","1",210
"138216","1",205
"138217","1",203
"138218","1",200
"138219","1",190
"138235","2",139
"138236","2",139
"138237","2",139
"138242","1",30
"138246","3",130
"138247","3",125
"138248","2",100
"138249","1",90
"138250","2",105
"138251","1",1
"138252","2",1
"138253","3",35
"138254","1",35
"138257","1",40
"138258","1",1
"138259","1",96
"138260","1",1
"138261","1",120
"138263","1",119
"138264","1",114
"138265","1",103
"138266","1",309
"138267","1",50
"138269","1",1
"138270","1",1
"138271","1",1
"138272","1",1
"138273","1",1
"138274","1",1
"138278","1",1
"138281","1",1
"138292","1",150
"138295","1",150
"138300","1",90
"138301","1",42
"138302","2",35
"138315","2",61
"138316","1",100
"138317","1",100
"138319","1",60
"138320","1",25
"138323","1",1
"138325","1",150
"138326","4",139
"138327","2",55
"138330","1",98
"138331","1",80
"138332","1",1
"138333","1",1
"138334","1",1
"138336","2",100
"138338","1",150
"138339","1",164
"138340","1",170
"138341","1",210
"138342","1",203
"138343","1",187
"138344","1",120
"138345","1",120
"138346","1",120
"138347","1",120
"138348","1",120
"138349","1",120
"138350","1",115
"138351","1",115
"138352","1",114
"138353","1",114
"138354","1",110
"138355","1",110
"138356","1",110
"138357","1",110
"138358","1",105
"138359","1",105
"138360","1",105
"138361","1",105
"138362","1",105
"138363","1",105
"138364","1",60
"138365","1",60
"138366","1",55
"138367","1",55
"138368","1",40
"138369","1",40
"138370","1",12
"138371","1",11
"138372","1",5
"138373","1",5
"138374","3",139
"138375","1",139
"138376","1",139
"138377","1",139
"138378","1",139
"138379","2",139
"138380","2",139
"138381","3",139
"138382","4",139
"138383","2",139
"138384","2",139
"138385","3",139
"138386","4",139
"138387","1",220
"138388","3",220
"138389","3",220
"138390","3",220
"138391","1",200
"138392","1",200
"138393","1",195
"138394","1",110
"138395","1",110
"138396","1",139
"138397","1",139
"138399","2",120
"138400","2",120
"138401","2",12
"138408","2",139
"138409","3",139
"138410","3",139
"138411","3",139
"138412","3",139
"138413","3",139
"138414","2",139
"138417","2",139
"138418","3",139
"138419","1",192
"138420","1",98
"138421","1",190
"138422","1",95
"138423","1",95
"138424","1",4
"138425","1",3
"138426","1",139
"138427","1",1
"138428","1",1
"138429","1",100
"138431","1",50
"138432","1",95
"138433","1",95
"138434","1",180
"138435","1",127
"138436","1",5
"138437","1",139
"138438","1",139
"138439","1",139
"138440","1",139
"138441","1",240
"138442","1",240
"138443","1",240
"138444","1",240
"138445","1",240
"138446","1",240
"138447","1",240
"138448","1",240
"138449","1",240
"138450","1",240
"138451","1",240
"138452","1",235
"138453","1",235
"138454","1",235
"138455","1",230
"138456","1",230
"138457","1",230
"138458","1",230
"138459","1",229
"138460","1",229
"138461","1",220
"138462","1",220
"138463","1",220
"138464","1",220
"138465","1",220
"138466","1",220
"138467","1",220
"138468","1",220
"138469","1",220
"138470","1",220
"138471","1",220
"138479","1",190
"138480","1",190
"138481","1",190
"138482","1",190
"138483","1",190
"138484","1",190
"138486","1",139
"138487","1",139
"138488","1",139
"138489","1",139
"138490","1",139
"138491","1",139
"138492","1",10
"138493","1",20
"138494","1",80
"138495","1",46
"138496","1",130
"138497","1",130
"138509","1",70
"138510","1",70
"138511","1",139
"138512","1",139
"138513","1",95
"138514","1",95
"138515","1",95
"138516","1",95
"138517","1",85
"138518","1",85
"138519","1",85
"138520","1",85
"138521","1",220
"138522","1",220
"138523","1",80
"138524","1",60
"138525","1",60
"138526","1",139
"138527","1",40
"138528","1",75
"138529","1",75
"138530","1",60
"138531","1",55
"138533","1",139
"138534","1",139
"138544","3",139
"138545","2",139
"138546","4",139
"138552","4",139
"138553","4",139
"138554","4",139
"138555","3",139
"138556","3",139
"138557","4",139
"138558","4",139
"138559","4",260
"138560","4",260
"138561","4",260
"138562","1",257
"138563","1",257
"138564","1",255
"138565","1",255
"138566","1",255
"138567","1",253
"138568","1",253
"138569","1",253
"138570","1",253
"138571","1",250
"138572","1",250
"138573","1",250
"138574","1",250
"138575","1",250
"138576","1",250
"138577","1",250
"138578","1",250
"138579","1",250
"138580","1",250
"138581","1",250
"138582","1",250
"138583","1",250
"138584","1",250
"138585","1",246
"138586","1",246
"138587","1",246
"138588","1",245
"138589","1",245
"138590","1",245
"138591","1",245
"138592","1",245
"138593","1",242
"138594","1",242
"138595","4",230
"138596","4",230
"138597","4",230
"138598","4",230
"138599","4",230
"138600","1",225
"138601","1",225
"138602","1",225
"138603","4",225
"138604","4",225
"138605","4",225
"138606","2",220
"138607","2",220
"138608","2",220
"138609","1",220
"138610","1",220
"138611","1",220
"138612","1",210
"138613","1",210
"138614","1",210
"138615","1",210
"138616","1",210
"138617","1",208
"138618","1",200
"138619","1",200
"138620","1",200
"138621","1",200
"138622","1",200
"138623","1",200
"138624","1",200
"138625","4",200
"138626","4",200
"138627","1",198
"138628","1",150
"138629","1",150
"138632","1",85
"138638","1",65
"138641","1",149
"138642","2",152
"138643","1",155
"138644","1",194
"138654","1",160
"138655","1",165
"138657","3",192
"138658","1",190
"138659","1",110
"138660","1",115
"138662","1",80
"138663","3",153
"138664","3",60
"138665","3",192
"138666","3",183
"138667","3",170
"138668","1",14
"138678","3",195
"138679","3",190
"138680","3",190
"138681","3",190
"138685","2",115
"138686","1",60
"138689","3",153
"138690","3",150
"138695","3",189
"138696","3",145
"138697","3",100
"138699","1",200
"138700","2",200
"138701","1",110
"138702","4",68
"138703","1",25
"138705","1",40
"138706","1",18
"138707","1",18
"138708","1",2
"138710","3",228
"138711","3",223
"138712","3",216
"138713","3",212
"138714","3",201
"138715","3",186
"138716","3",184
"138717","3",154
"138718","3",129
"138719","3",238
"138720","1",30
"138722","3",161
"138723","3",155
"138724","3",256
"138725","3",240
"138726","3",232
"138727","2",35
"138730","1",20
"138731","3",156
"138732","1",139
"138733","3",245
"138734","3",231
"138735","1",174
"138736","1",172
"138737","1",51
"138738","1",1
"138739","1",1
"138740","1",50
"138741","1",52
"138742","1",50
"138743","1",185
"138744","1",98
"138745","1",100
"138746","1",20
"138747","1",115
"138748","1",50
"138749","1",45
"138750","1",60
"138751","1",30
"138752","1",30
"138753","1",70
"138754","1",50
"138755","1",20
"138756","1",50
"138757","1",20
"138758","1",20
"138759","1",20
"138760","1",84
"138761","1",81
"138762","1",30
"138763","1",1
"138764","1",95
"138765","1",15
"138766","1",139
"138767","1",20
"138768","1",1
"138770","1",25
"138771","1",139
"138772","1",139
"138773","1",139
"138774","1",139
"138775","2",240
"138776","1",220
"138777","1",220
